uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.401709 3.992093 4.000000 0.000000 1.000000 0.000000 10.000000 1645 1634 1.079942e-03
0.527228 4.000530 4.000000 0.000000 1.000000 0.000000 10.000000 2159 1638 1.079942e-03
0.355556 3.993802 4.000000 0.000000 1.000000 0.000000 10.000000 1456 1635 1.079942e-03
0.455189 4.024310 4.000000 0.000000 1.000000 0.000000 10.000000 1864 1647 1.079942e-03
0.458364 4.003253 4.000000 0.000000 1.000000 0.000000 10.000000 1877 1639 1.079942e-03
0.423199 4.006575 4.000000 0.000000 1.000000 0.000000 10.000000 1733 1640 1.079942e-03
0.402930 4.033067 4.000000 0.000000 1.000000 0.000000 10.000000 1650 1651 1.079942e-03
0.875458 4.030117 5.000000 0.000000 1.000000 0.000000 10.000000 3585 1650 1.079942e-03
0.911844 3.981939 5.000000 0.000000 1.000000 0.000000 10.000000 3734 1630 1.079942e-03
0.441026 4.225838 5.000000 0.000000 1.000000 0.000000 10.000000 1806 1730 1.079942e-03
0.356777 4.741176 5.000000 0.000000 1.000000 0.000000 10.000000 1461 1941 1.079942e-03
0.028816 5.168138 5.000000 0.000000 1.000000 0.000000 10.000000 118 2116 1.030199e-03
0.521856 5.398443 5.000000 0.000000 1.000000 0.000000 10.000000 2137 2210 1.030199e-03
0.826862 5.236538 5.000000 0.000000 1.000000 0.000000 10.000000 3386 2144 9.533031e-04
0.537729 5.050020 5.000000 0.000000 1.000000 0.000000 10.000000 2202 2067 9.533031e-04
0.614896 5.037930 5.000000 0.000000 1.000000 0.000000 10.000000 2518 2063 9.533031e-04
0.529915 5.030339 5.000000 0.000000 1.000000 0.000000 10.000000 2170 2059 9.533031e-04
0.512821 5.070462 5.000000 0.000000 1.000000 0.000000 10.000000 2100 2076 7.846161e-04
0.549451 5.071652 5.000000 0.000000 1.000000 0.000000 10.000000 2250 2076 7.846161e-04
0.573871 5.034722 5.000000 0.000000 1.000000 0.000000 10.000000 2350 2061 7.846161e-04
0.619292 4.978427 5.000000 0.000000 1.000000 0.000000 10.000000 2536 2038 7.846161e-04
0.557753 4.947587 5.000000 0.000000 1.000000 0.000000 10.000000 2284 2026 7.846161e-04
0.553358 4.973977 5.000000 0.000000 1.000000 0.000000 10.000000 2266 2036 7.846161e-04
0.539194 4.993369 5.000000 0.000000 1.000000 0.000000 10.000000 2208 2044 7.846161e-04
0.538950 5.016730 5.000000 0.000000 1.000000 0.000000 10.000000 2207 2054 7.846161e-04
0.504274 5.037088 5.000000 0.000000 1.000000 0.000000 10.000000 2065 2062 7.846161e-04
0.610501 5.038522 5.000000 0.000000 1.000000 0.000000 10.000000 2500 2063 7.846161e-04
0.591941 4.989069 5.000000 0.000000 1.000000 0.000000 10.000000 2424 2043 7.846161e-04
0.526252 4.999698 5.000000 0.000000 1.000000 0.000000 10.000000 2155 2047 7.846161e-04
0.555067 5.015535 5.000000 0.000000 1.000000 0.000000 10.000000 2273 2053 7.493422e-04
0.613431 4.990962 5.000000 0.000000 1.000000 0.000000 10.000000 2512 2043 6.761342e-04
0.556532 4.973838 5.000000 0.000000 1.000000 0.000000 10.000000 2279 2036 6.761342e-04
0.507692 5.002225 5.000000 0.000000 1.000000 0.000000 10.000000 2079 2048 6.761342e-04
0.537485 5.039502 5.000000 0.000000 1.000000 0.000000 10.000000 2201 2063 6.761342e-04
0.579243 5.034973 5.000000 0.000000 1.000000 0.000000 10.000000 2372 2061 6.761342e-04
0.569719 5.010464 5.000000 0.000000 1.000000 0.000000 10.000000 2333 2051 6.761342e-04
0.565079 4.997110 5.000000 0.000000 1.000000 0.000000 10.000000 2314 2046 6.761342e-04
0.569719 4.990437 5.000000 0.000000 1.000000 0.000000 10.000000 2333 2043 6.761342e-04
0.603907 4.970302 5.000000 0.000000 1.000000 0.000000 10.000000 2473 2035 6.761342e-04
0.526007 4.975043 5.000000 0.000000 1.000000 0.000000 10.000000 2154 2037 6.338953e-04
0.501832 5.028098 5.000000 0.000000 1.000000 0.000000 10.000000 2055 2059 6.338953e-04
